Probandennummer;NLZ;Sportart;Leistungsniveau;Geschlecht;Alter zum Testzeitpkt;Gewicht;Größe;Squat Jump;Countermovement Jump;1RM Kniebeuge hinten;Linearsprint 10m;Linearsprint 20m;Linearsprint 30 m;Relativkraftleistung
1;1;Fußball;Nachwuchsleistungszentrum;männlich;19;79.6;184.5;39.1;38.8;110;1.713;2.956;4.128;1.38
2;1;Fußball;Nachwuchsleistungszentrum;männlich;19;68.6;171;41.9;41.9;100;1.706;2.909;4.077;1.46
3;1;Fußball;Nachwuchsleistungszentrum;männlich;19;63.1;172;35.5;37.9;90;1.766;3.006;4.176;1.43
5;1;Fußball;Nachwuchsleistungszentrum;männlich;18;78.1;179;37.7;42.1;80;1.758;3;4.152;1.02
6;1;Fußball;Nachwuchsleistungszentrum;männlich;18;79.2;183;35.6;36.4;80;1.784;3.095;4.342;1.01
7;1;Fußball;Nachwuchsleistungszentrum;männlich;18;69.9;176.5;32.2;37.4;80;1.765;3.055;4.256;1.14
8;1;Fußball;Nachwuchsleistungszentrum;männlich;19;72;182;43.1;43.4;125;;;;1.74
9;1;Fußball;Nachwuchsleistungszentrum;männlich;19;73.5;175;41.5;44.8;110;1.667;2.878;4.019;1.5
10;1;Fußball;Nachwuchsleistungszentrum;männlich;18;65.7;176;36;36;70;1.726;2.93;4.065;1.07
11;1;Fußball;Nachwuchsleistungszentrum;männlich;19;63.5;164.5;43.7;43.5;110;1.687;2.936;4.136;1.73
12;1;Fußball;Nachwuchsleistungszentrum;männlich;19;72.4;181.5;51.1;51.1;130;1.694;2.943;4.131;1.8
13;1;Fußball;Nachwuchsleistungszentrum;männlich;18;68;177;42.8;46.3;100;;;;1.47
14;1;Fußball;Nachwuchsleistungszentrum;männlich;18;62;175.5;33.7;36.9;85;1.709;2.934;4.141;1.37
15;1;Fußball;Nachwuchsleistungszentrum;männlich;19;67.8;175;35.6;38.1;95;1.797;3.086;4.323;1.4
16;1;Fußball;Nachwuchsleistungszentrum;männlich;18;72.1;172.5;41.5;44.8;100;1.7;2.919;4.071;1.39
17;1;Fußball;Nachwuchsleistungszentrum;männlich;19;79;187;40.9;45.9;130;1.725;2.941;4.083;1.65
18;1;Fußball;Nachwuchsleistungszentrum;männlich;17;74.8;187;28.8;33.1;60;1.793;3.073;4.281;0.8
19;1;Fußball;Nachwuchsleistungszentrum;männlich;18;74.5;179;41.8;42.8;125;;;;1.68
20;1;Fußball;Nachwuchsleistungszentrum;männlich;18;72;176;36.9;37.4;110;;;;1.53
21;1;Fußball;Nachwuchsleistungszentrum;männlich;17;72.3;183;37.6;40.2;100;1.638;2.818;3.916;1.38
22;1;Fußball;Nachwuchsleistungszentrum;männlich;19;78;176.5;33.9;34;100;1.733;2.982;4.16;1.28
23;1;Fußball;Nachwuchsleistungszentrum;männlich;17;74.8;183;34.5;40.1;95;1.816;3.089;4.317;1.27
24;1;Fußball;Nachwuchsleistungszentrum;männlich;18;75;176;37.9;38.5;110;;;;1.47
25;1;Fußball;Nachwuchsleistungszentrum;männlich;17;70.9;177;34;36;105;1.796;3.087;4.347;1.48
26;1;Fußball;Nachwuchsleistungszentrum;männlich;18;78.8;176.5;40.2;44.7;125;1.651;2.904;4.096;1.59
27;1;Fußball;Nachwuchsleistungszentrum;männlich;18;71;166;40.6;40.5;110;1.767;3.026;4.238;1.55
29;1;Fußball;Nachwuchsleistungszentrum;männlich;17;84;185.5;45;48.8;120;1.756;2.99;4.164;1.43
30;1;Fußball;Nachwuchsleistungszentrum;männlich;17;66.7;184;34.9;36.8;100;1.707;2.943;4.122;1.5
31;1;Fußball;Nachwuchsleistungszentrum;männlich;18;74.8;179;38.8;41.6;110;1.76;3.026;4.216;1.47
32;1;Fußball;Nachwuchsleistungszentrum;männlich;17;75.2;179;32.2;32;90;1.756;3.041;4.283;1.2
33;1;Fußball;Nachwuchsleistungszentrum;männlich;18;72.8;171.5;45.6;45.4;125;1.687;2.91;4.075;1.72
34;1;Fußball;Nachwuchsleistungszentrum;männlich;17;78.5;187;39.2;41.2;120;1.72;2.941;4.086;1.53
35;1;Fußball;Nachwuchsleistungszentrum;männlich;17;79.8;188;43.8;46.5;110;1.733;2.967;4.151;1.38
37;1;Fußball;Nachwuchsleistungszentrum;männlich;18;70.2;172.5;38.1;44.4;105;1.743;2.998;4.183;1.5
38;1;Fußball;Nachwuchsleistungszentrum;männlich;18;92;185;39.9;39.8;95;1.85;3.167;4.427;1.03
39;1;Fußball;Nachwuchsleistungszentrum;männlich;16;65.7;182;35.3;36;80;1.71;2.953;4.094;1.22
40;1;Fußball;Nachwuchsleistungszentrum;männlich;16;74.9;177;32.9;38.8;80;1.789;3.055;4.275;1.07
41;1;Fußball;Nachwuchsleistungszentrum;männlich;17;69.2;174.5;34.4;36.2;100;1.78;3.047;4.245;1.45
42;1;Fußball;Nachwuchsleistungszentrum;männlich;17;72.5;184;42.8;47.5;100;1.766;3.048;4.312;1.38
43;1;Fußball;Nachwuchsleistungszentrum;männlich;17;76.1;176;35.2;33.5;95;1.824;3.138;4.388;1.25
45;1;Fußball;Nachwuchsleistungszentrum;männlich;15;70.7;180;33.9;36;60;1.783;3.093;4.332;0.85
46;1;Fußball;Nachwuchsleistungszentrum;männlich;16;66.3;176.5;35.8;36.3;100;1.7;2.938;4.138;1.51
47;1;Fußball;Nachwuchsleistungszentrum;männlich;17;70.9;182;37;38.4;105;1.716;2.988;4.185;1.48
48;1;Fußball;Nachwuchsleistungszentrum;männlich;16;74.6;186;39.9;41.3;105;1.724;2.954;4.113;1.41
49;1;Fußball;Nachwuchsleistungszentrum;männlich;15;64.3;167;29.8;40.9;80;1.712;2.947;4.109;1.24
50;1;Fußball;Nachwuchsleistungszentrum;männlich;17;65.2;175.5;50.5;50.6;130;1.617;2.812;3.916;1.99
51;1;Fußball;Nachwuchsleistungszentrum;männlich;17;67.3;174.5;47.2;47.4;125;1.629;2.803;3.924;1.86
52;1;Fußball;Nachwuchsleistungszentrum;männlich;17;71.2;178;38.1;40.5;100;1.732;2.976;4.148;1.4
53;1;Fußball;Nachwuchsleistungszentrum;männlich;15;64.6;165;39.2;35;;1.737;3.033;4.236;
54;1;Fußball;Nachwuchsleistungszentrum;männlich;17;89.8;190;36.9;38.1;110;1.774;3.042;4.242;1.22
55;1;Fußball;Nachwuchsleistungszentrum;männlich;17;60;166;34.2;35;85;1.792;3.093;4.337;1.42
56;1;Fußball;Nachwuchsleistungszentrum;männlich;17;64.7;177.5;37.6;39.7;100;1.737;2.962;4.131;1.55
57;1;Fußball;Nachwuchsleistungszentrum;männlich;17;74.7;184;39.8;41.8;115;1.626;2.849;4.001;1.54
58;1;Fußball;Nachwuchsleistungszentrum;männlich;17;70.3;185.5;42.3;44.4;90;1.728;2.982;4.184;1.28
59;1;Fußball;Nachwuchsleistungszentrum;männlich;17;82;184;42.6;44.1;120;1.765;2.976;4.127;1.46
60;1;Fußball;Nachwuchsleistungszentrum;männlich;15;64;185;29.2;35.2;75;1.745;3.054;4.292;1.17
61;1;Fußball;Nachwuchsleistungszentrum;männlich;16;72.5;180;34.4;34.5;85;;;;1.17
62;1;Fußball;Nachwuchsleistungszentrum;männlich;16;67.7;179.5;43.8;44.9;125;1.684;2.895;4.028;1.85
63;1;Fußball;Nachwuchsleistungszentrum;männlich;17;79;180.5;43.8;46.8;130;1.648;2.848;3.973;1.65
64;1;Fußball;Nachwuchsleistungszentrum;männlich;16;78.6;180;36.5;41.5;110;1.745;2.99;4.182;1.4
65;1;Fußball;Nachwuchsleistungszentrum;männlich;15;68.9;183.5;38.4;37;80;1.739;2.974;4.086;1.16
66;1;Fußball;Nachwuchsleistungszentrum;männlich;15;78.7;186.5;31.5;31.2;;1.819;3.113;4.326;
69;1;Fußball;Nachwuchsleistungszentrum;männlich;17;71.3;183.6;42.5;41.8;115;1.751;2.986;4.13;1.61
70;1;Fußball;Nachwuchsleistungszentrum;männlich;16;78.6;189.5;43.2;47.4;100;1.748;2.997;4.184;1.27
71;1;Fußball;Nachwuchsleistungszentrum;männlich;16;57;164.5;34.3;40.2;80;1.804;3.144;4.389;1.4
72;1;Fußball;Nachwuchsleistungszentrum;männlich;16;85.8;193.5;40.9;40.4;120;1.766;2.972;4.193;1.4
73;1;Fußball;Nachwuchsleistungszentrum;männlich;16;73.5;177.5;31.3;32.1;90;1.798;3.064;4.257;1.22
74;1;Fußball;Nachwuchsleistungszentrum;männlich;15;61.7;171.5;30;34.4;65;1.856;3.257;4.599;1.05
75;1;Fußball;Nachwuchsleistungszentrum;männlich;16;70.4;181;36.9;35.3;105;1.668;2.861;3.954;1.49
76;1;Fußball;Nachwuchsleistungszentrum;männlich;16;65.4;177;40.9;40.5;105;1.75;3.009;4.199;1.61
77;1;Fußball;Nachwuchsleistungszentrum;männlich;15;62.6;170.5;35;37.9;90;1.785;3.107;4.373;1.44
78;1;Fußball;Nachwuchsleistungszentrum;männlich;16;95;179;33.9;33.7;70;1.968;3.365;4.709;0.74
79;1;Fußball;Nachwuchsleistungszentrum;männlich;14;53.3;173;33;32.7;45;1.906;3.346;4.715;0.84
80;1;Fußball;Nachwuchsleistungszentrum;männlich;16;83;183.5;40.5;42.2;110;1.758;2.986;4.127;1.33
81;1;Fußball;Nachwuchsleistungszentrum;männlich;16;61;166;41.3;47.1;110;1.681;2.91;4.089;1.8
82;1;Fußball;Nachwuchsleistungszentrum;männlich;16;59.1;167.5;39.4;38.1;95;1.761;3.068;4.294;1.61
83;1;Fußball;Nachwuchsleistungszentrum;männlich;16;69;178;45.1;45.4;115;1.726;2.959;4.102;1.67
84;1;Fußball;Nachwuchsleistungszentrum;männlich;16;63.2;175;31.8;33.7;75;1.878;3.242;4.555;1.19
85;1;Fußball;Nachwuchsleistungszentrum;männlich;16;63.2;175;42.3;43.9;95;1.637;2.824;3.95;1.5
86;1;Fußball;Nachwuchsleistungszentrum;männlich;15;57.3;176.5;40.9;38.8;80;1.77;3.045;4.262;1.4
87;1;Fußball;Nachwuchsleistungszentrum;männlich;16;65.4;179;40.5;42.6;110;1.725;2.98;4.181;1.68
88;1;Fußball;Nachwuchsleistungszentrum;männlich;15;59.3;178;37;36.1;65;;;;1.1
89;1;Fußball;Nachwuchsleistungszentrum;männlich;16;79.9;181.5;45.3;47.2;115;1.764;3.033;4.292;1.44
90;1;Fußball;Nachwuchsleistungszentrum;männlich;16;74.7;173.5;43.5;41.6;125;1.639;2.892;4.039;1.67
91;1;Fußball;Nachwuchsleistungszentrum;männlich;16;61.5;168.5;33.7;37.6;75;1.85;3.177;4.428;1.22
92;1;Fußball;Nachwuchsleistungszentrum;männlich;16;66.4;168;37;40.8;105;1.753;3.058;4.285;1.58
93;1;Fußball;Nachwuchsleistungszentrum;männlich;16;69.9;179;38.3;42.2;115;1.724;2.959;4.109;1.65
94;1;Fußball;Nachwuchsleistungszentrum;männlich;14;75;176;34.1;34;70;1.775;3.057;4.279;0.93
95;1;Fußball;Nachwuchsleistungszentrum;männlich;15;67.1;176.5;41.9;42.2;110;1.737;2.938;4.137;1.64
96;1;Fußball;Nachwuchsleistungszentrum;männlich;15;71.4;183.5;37.3;37.6;105;1.75;2.973;4.105;1.47
97;1;Fußball;Nachwuchsleistungszentrum;männlich;14;65.8;170;35.6;39.8;80;1.741;2.985;4.174;1.22
99;1;Fußball;Nachwuchsleistungszentrum;männlich;15;60.7;170;36;36.7;95;1.769;3.099;4.356;1.57
102;1;Fußball;Nachwuchsleistungszentrum;männlich;15;53.8;175.5;41.6;41.9;90;1.733;3.067;4.273;1.67
103;1;Fußball;Nachwuchsleistungszentrum;männlich;15;53.2;175;34.5;37.3;70;1.811;3.177;4.458;1.32
105;1;Fußball;Nachwuchsleistungszentrum;männlich;15;80;177;32.9;36.1;100;1.726;3.037;4.275;1.25
106;1;Fußball;Nachwuchsleistungszentrum;männlich;14;53.9;160;33.9;35.4;50;1.793;3.14;4.427;0.93
108;1;Fußball;Nachwuchsleistungszentrum;männlich;14;57;171;33.1;33.4;55;1.776;3.276;4.627;0.96
111;1;Fußball;Nachwuchsleistungszentrum;männlich;15;48;160;35.8;34.9;65;1.83;3.214;4.543;1.35
112;1;Fußball;Nachwuchsleistungszentrum;männlich;15;49.5;163;43.9;45.1;80;1.754;3.094;4.385;1.62
113;1;Fußball;Nachwuchsleistungszentrum;männlich;14;65.6;174;30.7;31.7;80;1.815;3.12;4.339;1.22
114;1;Fußball;Nachwuchsleistungszentrum;männlich;15;63.4;180;38.3;36.8;95;1.745;3.065;4.358;1.5
115;1;Fußball;Nachwuchsleistungszentrum;männlich;14;76.4;170;33.8;34.8;105;1.759;3.081;4.359;1.37
116;1;Fußball;Nachwuchsleistungszentrum;männlich;14;59;172;39.9;42.6;85;1.726;3.052;4.327;1.44
118;1;Fußball;Nachwuchsleistungszentrum;männlich;14;66.9;172;40.2;40.8;95;1.792;3.108;4.361;1.42
119;1;Fußball;Nachwuchsleistungszentrum;männlich;14;75.2;190.5;48.6;47.1;110;1.671;2.92;4.146;1.46
120;1;Fußball;Nachwuchsleistungszentrum;männlich;14;58;171;40.4;42.8;75;1.716;3.012;4.231;1.29
121;1;Fußball;Nachwuchsleistungszentrum;männlich;14;66;180;39.8;41.6;95;1.716;3.03;4.307;1.44
122;1;Fußball;Nachwuchsleistungszentrum;männlich;13;55.5;164;27;27.5;40;2.014;3.525;5.067;0.72
123;1;Fußball;Nachwuchsleistungszentrum;männlich;13;62.3;176;36.6;35.2;60;1.771;3.091;4.359;0.96
124;1;Fußball;Nachwuchsleistungszentrum;männlich;14;73.7;187.5;47.7;48.5;100;1.709;3.011;4.29;1.36
125;1;Fußball;Nachwuchsleistungszentrum;männlich;13;65.4;168;36.1;37.7;60;1.772;3.072;4.324;0.92
126;1;Fußball;Nachwuchsleistungszentrum;männlich;14;58.3;172;43.8;44.2;105;1.712;3.028;4.268;1.8
127;1;Fußball;Nachwuchsleistungszentrum;männlich;14;50.7;170;34.5;32.7;50;1.909;3.391;4.814;0.99
128;1;Fußball;Nachwuchsleistungszentrum;männlich;14;59.4;168.5;32.1;34.1;65;1.931;3.336;4.658;1.09
129;1;Fußball;Nachwuchsleistungszentrum;männlich;14;58;164;28.8;29.9;50;1.937;3.47;4.939;0.86
131;1;Fußball;Nachwuchsleistungszentrum;männlich;14;62.9;168.5;34.4;35.6;80;1.792;3.173;4.535;1.27
133;1;Fußball;Nachwuchsleistungszentrum;männlich;14;53.8;165.5;30.2;36.5;65;1.756;3.112;4.402;1.21
134;1;Fußball;Nachwuchsleistungszentrum;männlich;14;46;164.5;38.2;41.6;70;1.761;3.165;4.497;1.52
135;1;Fußball;Nachwuchsleistungszentrum;männlich;14;47;158.5;33.1;33.7;50;1.901;3.311;4.673;1.06
140;1;Fußball;Nachwuchsleistungszentrum;männlich;14;43;147;30.1;31.2;50;1.887;3.371;4.787;1.16
141;1;Fußball;Nachwuchsleistungszentrum;männlich;14;65.8;172.5;38;37.2;80;1.85;3.22;4.525;1.22
142;1;Fußball;Nachwuchsleistungszentrum;männlich;14;55.8;165;41.1;38.8;80;1.68;2.923;4.099;1.43
144;1;Fußball;Nachwuchsleistungszentrum;männlich;14;51;153;31.7;33.5;60;1.864;3.277;4.638;1.18
150;1;Fußball;Nachwuchsleistungszentrum;männlich;13;44.3;157;30.7;32.6;45;1.844;3.187;4.499;1.02
151;1;Fußball;Nachwuchsleistungszentrum;männlich;13;42.1;153.5;32.9;33.6;45;1.753;3.108;4.428;1.07
153;1;Fußball;Nachwuchsleistungszentrum;männlich;13;49.5;156;27.2;26.9;50;1.955;3.435;4.882;1.01
155;1;Fußball;Nachwuchsleistungszentrum;männlich;13;40;138.5;27;31;35;1.951;3.513;5.034;0.88
156;1;Fußball;Nachwuchsleistungszentrum;männlich;13;45;159;35;37.1;40;1.794;3.177;4.506;0.89
157;1;Fußball;Nachwuchsleistungszentrum;männlich;13;41;151;38.7;39.9;80;1.825;3.22;4.581;1.95
158;1;Fußball;Nachwuchsleistungszentrum;männlich;13;43;149;33.2;33.6;50;1.885;3.318;4.721;1.16
160;1;Fußball;Nachwuchsleistungszentrum;männlich;13;41.8;149;30.2;34.4;40;1.885;3.346;4.788;0.96
161;1;Fußball;Nachwuchsleistungszentrum;männlich;13;40.2;149;23.6;24;35;1.875;3.395;4.855;0.87
163;1;Fußball;Nachwuchsleistungszentrum;männlich;13;56.1;171.5;28;34.1;35;1.862;3.271;4.642;0.62
164;1;Fußball;Nachwuchsleistungszentrum;männlich;13;37.9;154.5;32.2;33.5;50;1.74;3.062;4.331;1.32
165;1;Fußball;Nachwuchsleistungszentrum;männlich;13;55.2;169.5;25.3;27.6;45;1.816;3.227;4.568;0.82
166;1;Fußball;Nachwuchsleistungszentrum;männlich;13;51.4;164;29;32.5;45;1.79;3.113;4.416;0.88
167;1;Fußball;Nachwuchsleistungszentrum;männlich;13;50.3;161;32.9;35.8;40;1.801;3.144;4.436;0.8
168;1;Fußball;Nachwuchsleistungszentrum;männlich;13;60.6;176;30.7;30.1;65;1.781;3.092;4.374;1.07
174;1;Fußball;Nachwuchsleistungszentrum;männlich;13;48.1;158.5;28.2;30.7;45;1.82;3.261;4.665;0.94
175;2;Fußball;Nachwuchsleistungszentrum;männlich;18;89.8;188;36.6;37.2;80;1.775;3.046;4.253;0.89
176;2;Fußball;Nachwuchsleistungszentrum;männlich;19;65;166.5;30.7;31.8;70;1.904;3.272;4.562;1.08
177;2;Fußball;Nachwuchsleistungszentrum;männlich;18;67;182.5;36.1;39.8;90;1.673;2.938;4.126;1.34
178;2;Fußball;Nachwuchsleistungszentrum;männlich;18;72;178.8;35.6;37.6;90;1.688;2.929;4.096;1.25
179;2;Fußball;Nachwuchsleistungszentrum;männlich;18;82.9;177;34;36.5;90;1.772;3.056;4.27;1.09
180;2;Fußball;Nachwuchsleistungszentrum;männlich;18;64.8;168;40.1;38.8;90;1.661;2.837;3.956;1.39
181;2;Fußball;Nachwuchsleistungszentrum;männlich;18;64.8;167;38.1;40.5;95;1.648;2.862;3.989;1.47
182;2;Fußball;Nachwuchsleistungszentrum;männlich;17;74;175;29;32;85;1.748;3.03;4.23;1.15
183;2;Fußball;Nachwuchsleistungszentrum;männlich;19;78.9;183;33.2;34.9;90;1.722;3.014;4.2;1.14
185;2;Fußball;Nachwuchsleistungszentrum;männlich;18;81.9;182;28.3;31;90;1.767;3.042;4.274;1.1
186;2;Fußball;Nachwuchsleistungszentrum;männlich;19;85.2;176.5;34.3;39.4;100;1.811;3.067;4.261;1.17
187;2;Fußball;Nachwuchsleistungszentrum;männlich;19;85.5;191;38.1;40.4;100;1.732;2.963;4.108;1.17
188;2;Fußball;Nachwuchsleistungszentrum;männlich;17;74;190;28.7;30.6;75;1.82;3.203;4.508;1.01
189;2;Fußball;Nachwuchsleistungszentrum;männlich;19;70.9;175;31.9;36.3;90;1.702;3.003;4.167;1.27
190;2;Fußball;Nachwuchsleistungszentrum;männlich;17;66.4;170;34.4;37.4;70;1.721;2.952;4.1;1.05
191;2;Fußball;Nachwuchsleistungszentrum;männlich;18;80.2;181;31;32.5;90;1.786;3.095;4.347;1.12
192;2;Fußball;Nachwuchsleistungszentrum;männlich;19;81.3;180.5;44.4;44.5;110;1.762;3.002;4.161;1.35
193;2;Fußball;Nachwuchsleistungszentrum;männlich;18;73.1;175.5;29.5;31.1;70;1.858;3.2;4.447;0.96
194;2;Fußball;Nachwuchsleistungszentrum;männlich;17;75.9;179.5;41.2;45.6;95;1.668;2.889;4.056;1.25
195;2;Fußball;Nachwuchsleistungszentrum;männlich;19;78.2;173;34.8;37;85;1.898;3.194;4.421;1.09
197;2;Fußball;Nachwuchsleistungszentrum;männlich;17;73;185;36.4;44.4;100;1.661;2.918;4.11;1.37
198;2;Fußball;Nachwuchsleistungszentrum;männlich;19;88;184;35;42.3;100;1.768;3.001;4.264;1.14
199;2;Fußball;Nachwuchsleistungszentrum;männlich;18;67.4;170;43.4;43.6;95;1.689;2.956;4.081;1.41
200;2;Fußball;Nachwuchsleistungszentrum;männlich;18;71.2;175.5;34.6;39.2;80;1.793;3.081;4.298;1.12
201;2;Fußball;Nachwuchsleistungszentrum;männlich;17;67.3;172;35.2;39.1;80;1.785;3.085;4.308;1.19
202;2;Fußball;Nachwuchsleistungszentrum;männlich;16;68;181;39;45.9;90;1.683;2.9;4.054;1.32
203;2;Fußball;Nachwuchsleistungszentrum;männlich;17;65.3;178;32.5;33.4;70;1.807;3.099;4.317;1.07
204;2;Fußball;Nachwuchsleistungszentrum;männlich;16;73;186;37.7;39.5;90;1.712;2.931;4.07;1.23
205;2;Fußball;Nachwuchsleistungszentrum;männlich;17;67.2;175.5;32.7;39.4;90;1.815;3.115;4.341;1.34
206;2;Fußball;Nachwuchsleistungszentrum;männlich;16;66.7;171;34.7;40.6;65;1.77;3.053;4.24;0.97
207;2;Fußball;Nachwuchsleistungszentrum;männlich;18;77.9;174;39.2;42.9;100;1.753;3.001;4.189;1.28
208;2;Fußball;Nachwuchsleistungszentrum;männlich;18;77.1;188;32.2;34.1;70;1.933;3.255;4.488;0.91
209;2;Fußball;Nachwuchsleistungszentrum;männlich;17;65.2;172;35.7;40.4;100;1.736;2.992;4.167;1.53
210;2;Fußball;Nachwuchsleistungszentrum;männlich;18;71.2;178;37;40.8;80;1.752;2.996;4.193;1.12
211;2;Fußball;Nachwuchsleistungszentrum;männlich;16;71;185.5;34.4;36.9;80;1.725;3.062;4.261;1.13
212;2;Fußball;Nachwuchsleistungszentrum;männlich;17;68.5;179;38.1;39.9;70;1.785;3.095;4.313;1.02
213;2;Fußball;Nachwuchsleistungszentrum;männlich;17;70.2;169;40.1;42.6;90;1.773;3.112;4.376;1.28
214;2;Fußball;Nachwuchsleistungszentrum;männlich;18;63;176;38.8;37.6;90;1.645;2.842;3.968;1.43
215;2;Fußball;Nachwuchsleistungszentrum;männlich;16;68;177;38.8;39.8;80;1.7;2.959;4.113;1.18
216;2;Fußball;Nachwuchsleistungszentrum;männlich;16;61.3;170;34.3;36.5;60;1.76;3.044;4.268;0.98
218;2;Fußball;Nachwuchsleistungszentrum;männlich;16;72.6;182;35.3;38.7;80;1.853;3.126;4.342;1.1
219;2;Fußball;Nachwuchsleistungszentrum;männlich;18;74.2;180;31.7;36.9;80;1.838;3.096;4.255;1.08
220;2;Fußball;Nachwuchsleistungszentrum;männlich;16;82.9;187.5;37.6;40.6;100;1.799;3.099;4.333;1.21
221;2;Fußball;Nachwuchsleistungszentrum;männlich;16;73.7;169;33.2;39;90;1.826;3.098;4.292;1.22
223;2;Fußball;Nachwuchsleistungszentrum;männlich;18;71.4;174;30.1;31.5;80;1.747;2.968;4.108;1.12
224;2;Fußball;Nachwuchsleistungszentrum;männlich;16;64.7;166;35.7;38.5;65;1.769;3.053;4.243;1
225;2;Fußball;Nachwuchsleistungszentrum;männlich;16;57.1;172;34.1;36;60;1.828;3.132;4.368;1.05
226;2;Fußball;Nachwuchsleistungszentrum;männlich;17;59;171.5;36;37.2;70;1.702;2.993;4.192;1.19
227;2;Fußball;Nachwuchsleistungszentrum;männlich;16;76;182.5;38.3;38.5;80;1.74;2.986;4.136;1.05
228;2;Fußball;Nachwuchsleistungszentrum;männlich;15;66.4;178;37;44.7;90;1.701;2.917;4.067;1.36
229;2;Fußball;Nachwuchsleistungszentrum;männlich;17;71.4;183.5;31.9;33.1;60;1.899;3.161;4.359;0.84
230;2;Fußball;Nachwuchsleistungszentrum;männlich;17;76.7;185;34.7;37.6;95;1.708;2.936;4.086;1.24
233;2;Fußball;Nachwuchsleistungszentrum;männlich;17;64.7;174;31.8;35.2;75;1.738;2.999;4.229;1.16
234;2;Fußball;Nachwuchsleistungszentrum;männlich;18;82.6;184;31.4;31.1;70;1.802;3.095;4.309;0.85
235;2;Fußball;Nachwuchsleistungszentrum;männlich;16;73.1;180.5;39.1;38.3;70;1.771;3.059;4.261;0.96
236;2;Fußball;Nachwuchsleistungszentrum;männlich;18;76.7;187;37.8;38.9;110;1.783;3.039;4.214;1.43
238;2;Fußball;Nachwuchsleistungszentrum;männlich;17;61;175;33;34.9;75;1.773;3.149;4.407;1.23
