Probandennummer;NLZ;Sportart;Leistungsniveau;Geschlecht;Alter zum Testzeitpkt;Gewicht;Größe;Squat Jump;Countermovement Jump;1RM Kniebeuge hinten;Linearsprint 10m;Linearsprint 20m;Linearsprint 30 m;Relativkraftleistung
1700;4;Fußball;Nachwuchsleistungszentrum;männlich;16;64;178.5;34.5;41.5;90;1.76;3.01;4.21;1.41
1701;4;Fußball;Nachwuchsleistungszentrum;männlich;16;64.5;184;33.1;38.8;75;1.88;3.21;4.46;1.16
1702;4;Fußball;Nachwuchsleistungszentrum;männlich;15;61.5;175;42.3;31.7;75;1.75;3.04;4.25;1.22
1703;4;Fußball;Nachwuchsleistungszentrum;männlich;16;69;178;34.8;35.6;85;;;;1.23
1704;4;Fußball;Nachwuchsleistungszentrum;männlich;17;80;183.5;36.1;42.6;90;1.73;3.01;4.2;1.13
1705;4;Fußball;Nachwuchsleistungszentrum;männlich;18;70;183.5;37.9;44.7;90;1.69;2.9;4.05;1.29
1706;4;Fußball;Nachwuchsleistungszentrum;männlich;18;65;174.5;45.6;48.2;95;1.66;2.89;3.96;1.46
1707;4;Fußball;Nachwuchsleistungszentrum;männlich;18;78;187;32.9;35.4;100;1.72;2.93;4.08;1.28
1709;4;Fußball;Nachwuchsleistungszentrum;männlich;17;76;189;38.3;40.6;115;1.7;2.91;4.03;1.51
1710;4;Fußball;Nachwuchsleistungszentrum;männlich;18;81;185.5;34.3;37.6;95;1.71;2.94;4.09;1.17
1711;4;Fußball;Nachwuchsleistungszentrum;männlich;17;68;174.5;37.9;41.3;90;1.64;2.87;4;1.32
1712;4;Fußball;Nachwuchsleistungszentrum;männlich;17;75;182;37;36.9;90;1.69;2.88;4.01;1.2
1713;4;Fußball;Nachwuchsleistungszentrum;männlich;18;85.5;198;36.2;40.8;90;1.74;2.98;4.18;1.05
1714;4;Fußball;Nachwuchsleistungszentrum;männlich;18;70;170;38.5;39.1;110;1.74;2.97;4.14;1.57
1715;4;Fußball;Nachwuchsleistungszentrum;männlich;17;72;185;39;42;100;1.75;2.98;4.21;1.39
1716;4;Fußball;Nachwuchsleistungszentrum;männlich;19;77.5;186.5;38.7;40.2;115;1.79;3.07;4.29;1.48
1717;4;Fußball;Nachwuchsleistungszentrum;männlich;17;71.5;187;34.1;35;80;1.79;3.06;4.3;1.12
1718;4;Fußball;Nachwuchsleistungszentrum;männlich;18;77;191;38;43.5;105;1.72;2.95;4.11;1.36
1719;4;Fußball;Nachwuchsleistungszentrum;männlich;17;59;182;38;36.4;65;1.72;2.94;4.09;1.1
1720;4;Fußball;Nachwuchsleistungszentrum;männlich;17;79.5;191;;;90;1.75;2.99;4.14;1.13
1721;4;Fußball;Nachwuchsleistungszentrum;männlich;19;76.5;188.5;38.7;45.7;120;1.63;2.78;3.84;1.57
1722;4;Fußball;Nachwuchsleistungszentrum;männlich;23;64;168;39.1;39.4;100;1.72;2.97;4.15;1.56
1723;4;Fußball;Nachwuchsleistungszentrum;männlich;21;76;184;42.3;45.3;125;1.72;2.94;4.09;1.64
1724;4;Fußball;Nachwuchsleistungszentrum;männlich;20;72;188.5;38.1;40.2;115;1.71;2.99;4.14;1.6
1725;4;Fußball;Nachwuchsleistungszentrum;männlich;21;60;174;38.7;45;95;1.72;2.95;4.08;1.58
1726;4;Fußball;Nachwuchsleistungszentrum;männlich;23;89;186.5;37;38;110;;;;1.24
1727;4;Fußball;Nachwuchsleistungszentrum;männlich;19;66;183;41.1;49.1;105;1.65;2.83;3.94;1.59
1728;4;Fußball;Nachwuchsleistungszentrum;männlich;20;73.5;179;35.4;39.9;90;1.74;2.98;4.13;1.22
1729;4;Fußball;Nachwuchsleistungszentrum;männlich;20;79.5;184;32.9;37.3;95;1.71;2.99;4.19;1.19
1730;4;Fußball;Nachwuchsleistungszentrum;männlich;19;75;181;29.3;34.9;90;1.78;3.04;4.2;1.2
1731;4;Fußball;Nachwuchsleistungszentrum;männlich;20;73;185.5;33.3;35;100;1.61;2.78;3.87;1.37
1732;4;Fußball;Nachwuchsleistungszentrum;männlich;22;80;194;35.7;40.4;85;1.75;3;4.19;1.06
1734;4;Fußball;Nachwuchsleistungszentrum;männlich;23;79;184;36.2;37.3;90;1.77;3;4.15;1.14
1735;4;Fußball;Nachwuchsleistungszentrum;männlich;23;69;184;36.1;41.3;75;1.74;3.02;4.22;1.09
1736;4;Fußball;Nachwuchsleistungszentrum;männlich;21;67;175;33;35.2;90;1.79;3.03;4.23;1.34
1737;4;Fußball;Nachwuchsleistungszentrum;männlich;19;93;182;35;41.1;115;1.73;3.02;4.21;1.24
1738;4;Fußball;Nachwuchsleistungszentrum;männlich;20;83;189.5;34.3;37.2;95;1.72;3.1;4.38;1.14
1739;4;Fußball;Nachwuchsleistungszentrum;männlich;20;74.5;179;36;36.9;90;1.71;2.96;4.15;1.21
